,사업자등록번호,데이터수집일자,조사년도,재무보고서구분코드,재무보고서명칭,매출액_재무제표계정과목금액,매출액_비율,매출액_증감율,영업이익_재무제표계정과목금액,영업이익_비율,영업이익_증감율,당기순이익_재무제표계정과목금액,당기순이익_비율,당기순이익_증감율
1167,8428700193,20220308.0,2018.0,2.0,손익계산서,134457.0,100.0,-66.61,-38873.0,-28.91,-293.57,-38968.0,-28.98,-309.09
1170,8428700193,20220308.0,2017.0,2.0,손익계산서,402739.0,100.0,9999.99,20082.0,4.99,9999.99,18637.0,4.63,9999.99
1179,1088100196,20220304.0,2020.0,2.0,손익계산서,110033129.0,100.0,-10.38,-777386.0,-0.71,9999.99,365102.0,0.33,119.64
1182,1088100196,20220304.0,2019.0,2.0,손익계산서,122777293.0,100.0,31.46,-inf,-inf,-inf,-1858920.0,-1.51,-716.8
1185,1088100196,20220304.0,2018.0,2.0,손익계산서,93394544.0,100.0,-15.2,-454745.0,-0.49,-87.59,301383.0,0.32,-45.17
1188,1088100196,20220304.0,2017.0,2.0,손익계산서,110134957.0,100.0,-21.03,-3663097.0,-3.33,-194.54,549695.0,0.5,-81.71
1191,1058600197,20220225.0,2020.0,2.0,손익계산서,7700181.0,100.0,25.58,394465.0,5.12,-58.79,258968.0,3.36,-65.62
1194,1058600197,20220225.0,2019.0,2.0,손익계산서,6131678.0,100.0,15.07,957181.0,15.61,36.62,753348.0,12.29,25.89
1197,1058600197,20220225.0,2018.0,2.0,손익계산서,5328873.0,100.0,44.82,700591.0,13.15,538.25,598440.0,11.23,6086.71
1200,1058600197,20220225.0,2017.0,2.0,손익계산서,3679776.0,100.0,101.64,109768.0,2.98,-74.25,9673.0,0.26,-97.39
1203,1018100198,20210914.0,2016.0,2.0,손익계산서,50564901.0,100.0,23.62,2159756.0,4.27,-57.4,1080621.0,2.14,-70.79
1204,1018100198,20210914.0,2017.0,2.0,손익계산서,54172708.0,100.0,7.14,5466339.0,10.09,153.1,3404286.0,6.28,215.03
1205,1018100198,20210914.0,2018.0,2.0,손익계산서,67875815.0,100.0,25.3,7693128.0,11.33,40.74,3152599.0,4.64,-7.39
1206,1018100198,20210914.0,2019.0,2.0,손익계산서,76432271.0,100.0,12.61,9615431.0,12.58,24.99,3675881.0,4.81,16.6
1207,1018100198,20210914.0,2020.0,2.0,손익계산서,87283987.0,100.0,14.2,13180130.0,15.1,37.07,10638359.0,12.19,189.41
1219,3148600200,20220308.0,2020.0,2.0,손익계산서,887042.0,100.0,1.98,36216.0,4.08,81.18,31390.0,3.54,55.06
1222,3148600200,20220308.0,2019.0,2.0,손익계산서,869798.0,100.0,-18.82,19989.0,2.3,-67.27,20244.0,2.33,-69.83
1225,3148600200,20220308.0,2018.0,2.0,손익계산서,1071425.0,100.0,7.62,61066.0,5.7,-26.05,67108.0,6.26,-18.42
1228,3148600200,20220308.0,2017.0,2.0,손익계산서,995558.0,100.0,59.54,82574.0,8.29,-132.49,82264.0,8.26,85.5
1235,1248100205,20220308.0,2020.0,2.0,손익계산서,9562682.0,100.0,-1.09,240177.0,2.51,138.59,324575.0,3.39,110.75
1238,1248100205,20220308.0,2019.0,2.0,손익계산서,9668037.0,100.0,42.78,100667.0,1.04,159.0,154007.0,1.59,151.88
1241,2868800206,20220220.0,2020.0,2.0,손익계산서,1202738.0,100.0,9999.99,-571671.0,-47.53,9999.99,-272002.0,-22.62,9999.99
1244,2868800206,20220220.0,2019.0,2.0,손익계산서,461101.0,100.0,119.57,-253444.0,-54.96,-134.67,-154277.0,-33.46,-175.49
1247,2868800206,20220220.0,2018.0,2.0,손익계산서,210049.0,100.0,61.77,-108326.0,-51.57,-60.33,-55719.0,-26.53,16.8
1250,2868800206,20220220.0,2017.0,2.0,손익계산서,129847.0,100.0,9999.99,-67566.0,-52.04,9999.99,-66972.0,-51.58,9999.99
1253,2218100207,20220307.0,2020.0,2.0,손익계산서,2217214.0,100.0,21.25,192797.0,8.7,215.64,211233.0,9.53,164.08
